2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'javascript' version : 3.2.0.5506 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'php' version : 2.11.0.2485 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'python' version : 1.8.0.1496 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'scmgit' version : 1.3.0.869 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'scmsvn' version : 1.6.0.860 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'typescript' version : 1.1.0.1079 has not been found on the update center.
2018.11.06 02:41:25 INFO  web[AWblenmtfIpjN1DTAAEk][o.s.u.c.UpdateCenter] The plugin 'xml' version : 1.4.3.1027 has not been found on the update center.
2018.11.06 02:41:35 INFO  web[AWblenmtfIpjN1DTAAEm][o.s.s.p.w.RestartAction] SonarQube restart requested by admin
2018.11.06 02:41:39 INFO  web[][o.s.p.StopWatcher] Stopping process
2018.11.06 02:41:53 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2018.11.06 02:41:54 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2018.11.06 02:41:55 INFO  web[][o.e.p.PluginsService] no modules loaded
2018.11.06 02:41:55 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.index.reindex.ReindexPlugin]
2018.11.06 02:41:55 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2018.11.06 02:41:55 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2018.11.06 02:41:55 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2018.11.06 02:41:57 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2018.11.06 02:41:57 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 6.7.5.38563 / ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1
2018.11.06 02:41:57 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2018.11.06 02:41:57 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: C:\Program Files\sonarqube-6.7.5\data
2018.11.06 02:41:57 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2018.11.06 02:41:57 WARN  web[][o.s.d.DatabaseChecker] H2 database should be used for evaluation purpose only
2018.11.06 02:41:58 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: C:\Program Files\sonarqube-6.7.5
